PEU1,PEU2,PEU3,PEU4,PEU5,PU1,PU2,PU3,PU4,SE1,SE2,SE3,SE4,TTF1,TTF2,TTF3,TTF4,TTF5,IU1,IU2,IU3,IU4,IU5,IU6,SF1,SF2,SF3,SF4,SF5
3,4,5,5,5,4,3,5,5,5,2,2,3,4,4,4,2,2,3,4,5,5,5,2,4,2,4,4,4
5,3,3,5,5,4,4,4,3,3,3,4,3,4,3,4,4,4,3,3,3,3,3,3,3,4,4,4,4
4,5,5,4,5,5,5,5,5,4,4,5,4,4,3,4,4,5,4,3,4,4,5,5,4,4,4,4,5
4,5,4,4,5,4,4,5,5,4,4,3,4,3,4,4,4,4,3,4,4,3,4,4,4,5,4,4,4
5,5,5,4,5,4,4,4,5,5,4,4,5,4,4,4,5,4,4,4,4,4,5,4,4,5,4,5,5
2,2,3,3,3,4,2,4,3,2,2,2,2,2,2,4,5,4,2,3,2,4,2,2,2,2,2,2,3
3,4,4,3,4,4,4,4,4,3,3,4,4,4,3,4,4,3,2,3,4,4,4,3,4,4,3,3,3
3,4,4,3,4,3,3,4,3,4,4,4,4,3,3,4,3,4,4,3,4,4,4,3,3,4,4,4,3
5,5,5,5,5,5,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
5,4,5,3,4,3,5,3,4,4,3,5,4,5,5,4,3,5,5,3,5,4,4,3,4,5,5,4,4
5,5,4,3,5,4,4,5,5,4,4,3,4,4,4,4,5,5,4,3,4,5,5,3,4,4,4,4,4
5,4,4,4,3,3,4,4,5,3,4,4,5,4,3,4,4,4,5,5,4,4,4,5,4,3,3,4,3
5,5,4,3,3,4,5,5,3,5,4,3,4,3,4,5,4,5,3,3,4,5,5,3,4,5,3,3,4
4,4,4,4,4,5,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4
5,4,4,4,4,5,5,4,5,5,4,4,4,5,4,3,4,4,4,5,5,4,5,4,4,5,5,4,4
4,5,5,4,5,4,5,5,5,4,5,4,5,4,4,5,4,5,3,4,5,4,5,5,4,5,5,4,4
4,5,4,4,4,4,5,4,5,5,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,5,4,4,4
5,5,5,4,5,4,4,5,5,4,4,4,4,4,3,5,5,5,5,4,5,4,5,3,4,3,4,4,5
4,5,5,4,5,5,4,5,4,3,4,3,4,4,3,5,4,5,3,4,5,5,5,3,4,5,5,4,5
4,4,4,4,4,4,4,4,4,3,4,4,3,4,3,4,3,4,4,4,3,4,4,3,4,4,4,3,4
5,4,4,5,4,5,5,3,4,4,4,4,4,5,5,4,4,4,3,4,3,4,4,4,4,4,4,4,4
5,4,4,4,5,4,4,5,4,5,4,5,4,5,4,4,4,4,5,4,4,4,5,5,5,4,5,5,5
5,5,5,2,5,3,4,5,5,4,5,4,5,5,5,5,2,4,5,5,5,4,2,2,3,4,4,1,4
5,5,5,4,3,4,5,3,4,3,2,3,3,4,4,5,5,5,3,4,3,4,4,4,3,3,3,3,2
4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
5,5,5,4,5,4,4,5,5,5,5,5,5,5,4,4,5,5,5,4,4,4,4,5,4,4,4,4,5
4,3,5,5,3,2,2,4,5,5,4,4,4,5,3,4,5,3,3,4,5,5,5,4,4,4,5,3,3
5,5,4,3,4,4,4,3,5,3,2,4,2,3,5,5,4,2,4,4,5,3,3,2,5,5,5,4,4
3,5,5,4,4,2,2,3,3,4,4,3,4,5,5,4,4,3,5,3,4,4,3,3,5,5,4,5,4
4,5,5,5,4,3,5,4,3,5,3,2,2,3,4,5,5,5,4,4,3,3,4,5,5,3,3,4,5
4,3,3,4,5,2,2,3,4,4,5,5,5,3,3,4,5,3,4,4,4,3,5,5,5,3,2,2,3
4,3,5,4,4,4,5,4,5,3,3,4,4,2,2,2,4,5,5,4,4,5,4,3,4,5,5,4,5
4,5,5,3,3,4,4,3,2,3,4,5,5,5,4,4,3,4,2,2,3,4,4,5,5,4,3,3,4
5,3,2,4,4,3,5,5,4,4,4,3,4,5,5,3,4,3,5,2,2,3,5,5,5,5,3,2,3
3,4,3,5,5,5,3,4,4,5,3,3,4,3,4,4,5,3,2,2,3,4,2,5,4,4,4,2,5
5,4,3,3,4,5,5,2,2,3,4,4,3,5,5,4,3,2,5,5,2,4,5,4,5,5,4,4,3
5,5,3,2,3,4,4,5,3,2,3,2,4,4,3,5,5,3,4,4,3,5,5,4,4,3,3,4,4
4,5,5,5,4,4,3,2,3,2,4,3,5,5,5,4,3,3,4,5,4,3,3,3,4,4,3,4,5
3,4,5,5,4,2,3,2,4,4,4,5,4,5,5,3,4,5,5,3,3,4,5,4,5,3,3,4,5
3,4,4,5,3,3,3,3,4,4,4,5,5,2,2,3,5,2,4,4,5,3,4,4,5,5,4,3,4
4,2,3,4,4,5,5,3,5,4,3,3,2,4,4,3,5,5,4,4,5,3,4,5,5,5,4,4,4
3,5,5,3,3,4,5,4,4,3,4,5,5,5,4,4,3,4,5,4,4,3,3,4,5,5,3,3,4
5,4,5,3,4,5,5,4,4,4,3,3,5,5,5,3,3,4,2,3,3,2,4,4,5,5,2,2,3
5,5,3,3,4,4,2,3,3,5,5,4,4,5,3,3,4,3,5,5,3,3,2,4,4,4,5,4,3
4,3,4,5,5,5,3,4,4,3,5,5,4,4,3,4,5,5,5,4,4,4,3,3,4,5,5,4,3
3,4,4,5,5,5,4,3,3,4,5,5,4,3,3,4,5,4,5,5,3,4,5,5,4,5,4,4,5
5,3,4,4,5,5,4,3,2,4,4,5,5,5,3,4,4,5,4,4,3,3,4,5,5,5,4,3,3
4,3,4,5,5,4,5,3,3,4,5,3,4,4,5,4,4,3,3,3,4,5,4,3,3,2,3,4,4
5,2,3,4,4,5,4,4,5,5,3,3,4,4,4,5,3,3,4,2,2,3,4,4,4,5,5,4,3
4,3,2,4,4,5,5,5,4,3,4,4,5,4,3,4,4,5,5,3,3,4,4,5,5,5,4,3,3
4,3,5,5,4,4,3,3,3,4,5,3,2,3,4,5,5,5,4,4,3,3,4,5,5,4,4,3,3
3,4,5,5,4,4,4,3,4,3,2,2,3,4,4,5,5,5,4,3,3,4,4,5,5,5,3,2,3
4,3,4,5,5,5,3,2,3,4,4,5,5,4,3,4,4,4,3,3,2,4,5,5,5,4,4,3,3
4,5,5,3,3,4,5,5,3,3,4,3,5,5,5,4,4,3,4,5,5,4,3,3,4,4,5,5,5
4,3,4,5,5,4,5,4,3,3,3,4,4,5,5,4,5,3,3,3,4,5,5,3,4,4,3,4,5
5,5,4,3,3,2,3,3,4,5,5,4,4,5,4,4,3,3,4,4,3,3,4,5,5,5,3,3,4
4,3,2,3,3,5,5,4,3,3,4,4,5,5,5,3,3,4,4,4,5,4,4,4,3,3,4,4,5
3,3,4,4,5,3,4,5,4,3,3,4,4,4,4,3,4,5,5,5,4,3,3,4,4,5,5,4,3
4,3,4,5,5,5,2,3,3,4,4,5,4,4,3,4,5,5,5,3,3,4,5,5,4,4,4,3,3
3,4,4,4,5,4,3,3,4,5,5,5,4,4,3,3,4,4,4,3,3,4,5,4,5,4,5,4,3
4,4,5,5,3,4,4,5,4,4,3,3,4,5,5,3,3,4,5,3,4,5,5,5,4,3,3,4,4
4,4,5,3,4,4,5,5,3,4,5,3,3,4,2,3,2,4,3,4,5,5,4,5,4,3,3,5,4
4,5,3,4,4,4,5,3,4,3,3,5,5,4,3,4,5,4,5,5,3,3,4,5,5,3,3,4,3
5,5,4,4,3,3,2,3,3,4,5,5,4,4,3,4,5,5,5,4,3,3,4,4,5,5,5,4,3
4,3,4,4,5,5,3,2,4,4,4,5,5,2,3,4,4,4,5,3,4,5,4,3,3,3,2,4,4
4,4,3,5,5,3,4,5,2,3,4,5,5,4,4,3,3,4,5,5,3,4,3,4,3,3,5,5,5
4,5,5,5,5,4,3,3,2,4,5,3,4,4,3,4,5,5,5,3,3,4,3,5,5,5,3,4,4
4,3,3,5,5,5,3,2,2,3,4,4,5,5,5,4,3,3,4,4,5,5,4,4,3,3,5,5,4
4,3,4,3,5,5,3,5,5,4,3,3,3,5,4,4,5,5,4,2,2,3,3,4,4,5,4,5,4
3,4,5,5,4,4,3,3,2,5,5,4,4,4,3,3,3,4,5,4,4,3,3,5,5,4,5,4,5
3,4,3,5,5,4,3,4,4,5,3,3,4,5,5,4,4,5,5,3,3,3,4,5,4,3,5,4,3
4,3,5,5,3,3,3,4,4,5,5,4,3,4,5,5,4,5,5,3,3,4,5,5,3,3,3,4,4
3,2,3,4,4,5,5,4,4,3,3,4,4,5,5,4,4,3,4,4,5,5,4,3,4,5,4,5,5
4,2,3,4,4,5,5,4,3,4,4,5,4,3,3,4,4,3,5,5,4,5,4,5,4,3,4,3,4
4,5,5,5,4,3,4,3,4,5,3,3,4,4,5,4,3,5,5,5,4,4,4,5,5,3,3,5,5
4,3,3,5,5,5,3,5,3,4,4,5,5,5,4,3,4,4,4,5,5,4,5,5,4,3,3,4,5
4,4,5,3,5,3,5,3,4,4,5,4,4,5,5,4,3,4,5,5,4,4,3,4,4,5,4,4,4
2,3,3,2,4,4,5,4,3,4,4,5,2,3,3,4,4,5,5,4,5,5,4,3,3,3,4,5,5
3,3,3,5,5,4,4,3,4,5,5,4,3,3,3,4,4,5,5,5,4,4,3,3,4,4,5,4,4
4,3,4,5,5,4,3,3,4,5,5,4,3,4,5,5,4,4,4,3,4,3,4,3,4,5,5,4,3
5,5,4,3,4,3,5,5,4,4,3,4,3,5,5,4,3,3,4,5,4,4,4,3,5,5,4,3,3
5,3,5,5,3,4,4,5,4,5,4,3,4,4,4,5,5,4,3,3,4,4,5,5,4,3,4,4,4
5,3,2,3,4,4,4,5,5,4,4,3,5,5,4,4,5,4,4,3,4,4,5,5,5,3,4,3,4
4,3,5,5,4,4,3,5,5,3,3,4,5,4,4,3,5,5,5,3,4,5,5,5,4,3,4,5,5
4,3,5,5,4,3,3,5,5,4,3,4,5,5,5,4,3,3,4,5,4,4,3,3,3,4,5,4,4
4,5,3,3,4,5,5,4,3,4,5,4,4,5,3,3,4,5,5,4,4,4,5,5,5,4,3,5,5
3,4,5,5,4,4,4,3,4,5,4,3,3,4,5,5,4,4,3,3,4,5,4,4,4,3,3,4,4
3,4,4,5,5,4,5,4,5,4,5,4,4,5,4,4,5,4,4,5,4,4,5,4,5,5,4,4,4
4,5,4,4,5,5,4,5,5,4,5,5,4,4,5,4,5,5,4,5,4,5,5,5,4,5,4,5,5
4,3,3,4,3,4,4,5,4,3,2,3,3,4,5,3,4,5,4,5,4,3,4,4,3,4,4,5,4
4,4,5,4,5,4,5,5,4,4,4,5,4,4,5,4,5,5,4,5,5,4,4,5,4,5,4,5,5
3,4,4,5,4,5,4,5,5,3,2,4,3,3,4,3,5,5,5,4,4,5,4,4,4,5,4,4,4
5,3,3,5,4,5,4,5,5,3,3,4,3,4,3,4,4,4,3,5,4,5,4,4,4,5,5,4,4
4,5,5,4,3,3,5,5,4,5,4,3,4,4,5,4,5,5,5,3,4,4,5,5,5,4,5,3,3
4,5,4,5,4,4,5,4,5,4,4,5,4,4,5,4,4,5,4,4,5,4,5,5,5,4,5,4,4
3,5,3,4,4,5,5,4,4,3,3,4,5,4,4,5,3,5,4,4,5,3,4,4,4,3,4,5,4
3,4,5,4,4,4,5,4,4,4,5,4,4,4,5,4,5,5,4,4,5,4,5,4,4,5,4,4,5
4,3,4,3,4,4,4,5,5,4,5,4,4,4,5,4,5,5,5,4,4,5,5,4,4,4,5,4,4
4,5,3,4,4,5,5,3,3,4,4,5,4,4,3,5,4,3,5,5,4,4,3,3,4,5,4,3,3
4,5,4,5,4,4,4,5,4,3,4,4,4,4,4,5,5,4,4,4,5,4,4,5,4,4,5,4,5
3,4,3,4,3,3,3,5,3,3,4,4,5,4,4,5,4,5,4,4,5,4,4,5,4,5,4,4,5
3,4,5,5,5,3,3,4,4,5,5,3,3,4,4,5,4,5,4,3,3,4,5,5,5,3,3,4,5
3,2,3,4,2,5,4,2,5,5,4,4,2,3,3,4,5,5,5,4,5,4,4,3,5,4,5,5,4
3,4,3,4,4,3,3,5,3,2,3,4,3,3,4,3,4,4,3,3,4,4,5,4,3,4,4,3,4
4,3,5,5,4,3,4,4,5,5,3,3,4,4,5,4,5,5,4,4,4,5,3,3,4,3,3,5,5
4,3,5,5,4,3,3,5,5,5,4,4,3,5,4,5,5,4,4,3,3,4,5,4,5,4,4,5,4
3,5,5,4,3,3,4,4,5,5,4,4,4,3,3,4,5,4,4,3,3,4,4,5,5,4,4,3,3
4,3,5,3,4,4,5,5,4,5,4,4,5,4,4,5,4,4,3,4,3,4,4,5,4,4,5,4,5
4,3,5,5,5,4,4,3,3,4,3,4,5,5,4,4,5,5,4,3,3,4,4,5,5,3,4,4,5
4,5,3,3,3,4,4,5,4,5,5,3,4,4,4,5,5,4,3,4,4,5,5,3,3,4,4,5,5
4,4,5,4,4,4,5,4,5,4,4,5,4,4,4,5,4,5,5,4,4,5,4,5,4,4,5,4,5
3,4,4,5,4,3,4,4,5,3,3,4,4,3,4,4,4,5,3,4,4,4,5,4,3,4,4,4,5
3,4,4,4,5,3,4,4,4,3,4,4,4,3,4,4,4,5,3,4,4,4,5,4,3,4,3,4,5
3,4,3,4,4,4,4,5,4,3,4,4,5,4,4,5,4,4,4,5,4,4,4,4,3,4,4,4,5
4,5,4,4,4,5,4,4,4,3,4,4,4,3,4,3,4,4,3,4,4,4,5,4,3,4,4,3,4
4,3,4,4,5,3,3,5,4,5,5,3,3,4,4,5,3,3,3,4,5,5,4,3,3,4,4,5,5
4,3,4,4,5,3,3,5,5,5,4,3,4,4,3,4,4,5,5,4,5,4,3,3,4,4,5,5,4
3,4,3,5,4,3,4,4,4,4,3,5,4,4,4,5,4,4,4,5,4,5,5,4,3,4,4,5,4
5,3,3,4,4,4,5,4,5,3,5,3,4,4,4,5,5,3,3,4,5,5,4,3,4,5,4,5,5
4,5,3,3,3,2,4,5,2,4,4,3,3,2,4,5,5,2,3,3,4,4,5,3,3,2,3,4,4
5,3,4,4,5,5,4,5,4,3,4,4,5,5,4,5,3,3,4,5,4,5,3,3,3,4,4,5,5
3,5,3,4,4,2,2,3,4,4,3,3,4,5,5,3,3,4,4,4,5,4,3,2,2,3,3,4,2
3,4,3,2,3,5,5,4,4,4,3,3,2,3,4,4,5,5,5,4,3,3,4,4,3,4,5,5,4
3,4,3,5,5,4,3,3,4,5,5,3,4,4,3,4,5,5,5,4,3,4,4,5,3,4,4,5,5
3,2,3,4,4,5,4,5,3,3,2,2,4,4,4,5,3,3,2,4,4,5,5,4,4,5,3,3,2
5,3,4,4,5,3,3,4,4,5,5,4,3,4,5,5,4,5,3,3,4,4,3,5,5,4,5,3,3
4,3,3,4,5,5,3,3,4,4,5,3,3,4,4,5,5,3,3,4,4,3,5,5,4,3,4,4,5
4,2,3,2,4,5,5,4,4,3,3,5,4,2,2,3,4,3,5,4,5,5,3,3,2,3,4,4,5
3,4,4,5,5,5,3,4,4,4,3,5,3,4,4,4,5,5,3,3,4,4,5,3,5,4,4,5,3
4,5,4,4,5,4,5,4,4,4,5,5,4,4,5,4,5,5,4,4,5,4,5,4,4,5,4,5,5
4,3,3,2,4,4,4,5,5,2,2,3,4,4,5,3,5,5,4,3,4,4,5,3,4,4,5,3,4
3,4,4,5,5,5,3,4,4,4,3,5,4,4,4,5,5,3,4,5,5,3,3,4,3,5,3,4,4
4,3,5,4,4,5,3,3,4,5,5,4,4,3,4,3,4,5,5,5,4,3,3,4,4,4,5,4,4
4,5,4,3,3,5,3,5,4,4,4,5,5,3,3,4,4,3,5,4,5,4,5,5,4,3,3,4,4
2,3,3,4,4,4,5,4,3,5,2,2,3,3,2,3,4,4,5,4,3,3,2,2,3,4,3,5,5
3,4,4,5,5,5,3,5,4,3,4,4,5,5,4,5,4,3,4,4,5,3,3,4,5,5,4,4,3
3,3,3,4,4,5,4,5,4,4,4,3,5,5,4,5,3,5,4,4,3,3,5,5,4,5,4,4,3
4,5,5,4,3,2,2,3,4,4,4,5,3,3,4,4,5,2,2,2,3,4,4,3,4,3,4,4,5
3,3,4,5,3,4,5,4,4,5,5,3,3,4,4,3,4,5,5,5,3,3,4,4,4,5,3,4,4
4,3,3,4,5,5,5,4,4,3,4,4,5,5,3,4,5,5,4,4,3,3,4,4,4,5,4,5,5
3,3,5,5,4,4,4,5,4,5,3,4,3,4,4,5,5,4,4,5,5,4,3,3,4,4,5,5,3
3,4,5,4,3,4,4,5,5,5,3,3,4,4,4,4,5,5,5,3,4,4,3,5,4,5,5,4,3
5,3,5,3,3,4,4,5,3,5,4,5,5,3,4,3,4,4,4,5,5,5,4,3,3,3,4,4,4
4,3,4,3,4,5,5,4,5,4,3,3,5,5,4,5,4,4,3,4,3,5,5,4,4,4,3,3,4
3,3,4,4,4,5,4,5,4,3,3,4,3,4,3,4,5,5,4,4,5,4,4,5,4,5,4,5,5
5,5,4,4,5,4,5,5,4,3,3,4,5,4,5,4,4,5,3,4,5,4,5,5,4,5,5,4,5
3,5,4,4,5,3,4,4,5,3,4,4,4,3,4,5,4,5,3,4,5,5,4,5,3,4,4,5,4
3,4,4,5,4,4,5,4,4,4,5,4,4,4,5,4,4,5,4,5,4,4,5,5,4,4,5,4,5
3,4,5,4,4,4,5,5,4,3,4,3,4,3,4,4,5,4,4,5,4,4,5,5,5,4,3,4,4
3,4,4,5,4,5,4,5,5,3,3,4,3,4,3,4,5,5,3,4,5,4,3,4,4,5,4,4,5
3,4,4,4,5,4,4,5,4,4,4,5,4,4,4,5,5,4,4,5,4,5,4,4,4,5,4,4,5
3,4,4,5,4,4,4,5,4,4,4,5,5,4,5,4,4,5,4,5,4,4,5,4,4,5,5,4,5
4,4,5,4,4,4,5,4,4,4,5,4,4,4,5,4,4,5,3,5,4,4,4,5,4,5,4,4,5
4,4,5,4,4,4,5,4,4,4,5,4,5,3,4,3,4,3,3,4,3,3,4,4,3,3,4,4,3
4,5,4,4,5,4,4,5,4,3,3,4,4,3,4,3,4,5,3,4,4,5,4,4,3,4,3,4,5
3,4,4,5,4,3,4,4,5,3,4,4,5,3,4,4,5,5,3,4,4,4,4,5,4,5,5,3,5
3,4,4,5,4,3,5,5,5,4,3,4,5,5,4,5,4,4,3,3,5,5,4,4,5,3,4,5,4
2,3,4,4,3,5,5,2,3,3,3,4,4,5,3,2,3,4,5,5,5,3,4,4,5,2,3,3,4
3,4,4,5,4,3,4,4,5,3,4,4,5,3,4,5,4,4,3,4,4,4,5,4,4,4,5,4,4
4,3,4,5,5,5,3,5,4,3,5,5,4,4,4,5,5,4,3,4,4,5,5,3,4,4,5,5,3
5,5,3,3,4,4,5,4,5,3,3,4,5,3,4,3,4,5,5,5,4,4,3,3,4,4,5,3,5
5,5,4,4,5,3,4,5,4,5,4,4,5,3,4,4,5,5,4,4,5,4,5,5,4,5,4,5,4
5,3,2,3,3,4,4,2,2,3,3,4,4,5,5,4,3,3,3,2,2,4,4,5,5,5,4,3,4
5,4,5,5,4,3,4,3,3,5,5,3,4,3,3,5,5,4,4,5,4,3,5,4,5,5,4,4,3
3,4,4,4,5,4,5,4,4,4,5,4,4,4,5,4,4,5,4,5,4,4,5,5,4,5,5,4,5
3,4,5,5,4,3,3,4,4,5,5,4,4,5,3,3,4,5,5,5,4,3,4,4,5,5,3,3,4
4,2,2,3,3,5,5,4,3,3,3,5,4,2,2,3,4,4,5,4,4,5,3,4,4,3,2,3,3
4,5,4,4,5,5,4,5,4,4,5,5,4,3,3,5,4,4,4,5,4,4,5,4,3,4,5,4,5
5,5,4,4,3,3,4,5,3,4,4,5,5,5,3,5,4,4,3,3,3,4,5,4,5,5,4,4,3
4,3,4,5,5,4,3,3,4,4,5,5,5,4,3,4,4,5,5,3,5,3,3,4,4,4,4,3,3
4,4,5,3,5,4,3,4,4,3,3,4,3,3,4,4,3,5,4,3,4,5,4,4,3,4,5,4,4
5,3,3,4,3,5,4,5,4,4,3,3,4,5,5,3,3,4,4,4,5,5,4,3,4,5,4,3,3
3,4,4,5,4,4,5,5,4,3,3,4,4,3,4,5,5,4,3,4,3,5,4,5,4,4,5,4,5
5,3,5,3,4,4,5,4,4,5,5,3,3,4,4,5,4,3,3,5,5,4,4,3,4,4,4,3,3
3,3,5,4,4,4,3,5,3,5,5,4,4,3,3,4,5,4,5,3,5,4,3,3,3,4,4,5,5
4,3,4,4,5,3,2,5,4,4,5,2,3,3,3,4,2,4,5,5,4,4,3,3,3,4,5,4,3
3,4,4,5,4,4,5,4,4,3,4,4,5,4,4,5,4,4,3,4,5,4,4,5,4,4,5,4,5
5,3,5,4,3,4,4,3,3,5,3,4,5,4,4,5,3,4,5,3,5,4,5,4,4,3,3,5,3
3,4,4,5,4,5,4,4,5,4,5,4,5,5,4,3,4,5,4,4,5,4,5,5,4,5,4,4,5
4,3,4,5,5,5,3,3,3,4,4,4,5,5,4,3,4,3,4,4,5,5,5,4,4,3,5,4,4
3,5,4,4,5,4,4,5,4,3,4,3,4,4,3,5,5,4,3,4,5,4,3,5,4,4,3,4,5
4,5,4,5,4,3,3,3,4,4,3,4,5,5,5,5,3,3,4,4,5,3,4,4,4,5,4,5,3
4,5,4,4,5,5,4,4,5,5,4,4,5,4,3,4,5,4,4,5,4,4,5,4,5,4,4,5,5
3,2,2,3,4,4,5,4,5,5,2,2,3,3,3,4,4,2,3,3,5,5,4,3,2,3,3,4,4
3,4,5,4,5,4,4,5,4,4,4,5,4,4,5,4,4,5,4,4,5,4,4,5,5,4,3,4,5
4,3,4,4,5,5,3,3,3,3,4,4,5,5,4,5,4,5,3,3,4,4,5,3,3,4,4,5,4
4,5,3,4,5,4,4,5,4,4,4,5,4,5,4,4,5,4,4,4,5,4,4,5,5,4,5,5,4
5,5,5,3,3,4,3,4,5,5,4,5,4,3,3,4,3,5,5,4,4,3,5,5,5,3,5,4,4
3,4,5,4,5,5,4,4,5,4,4,5,4,4,4,5,4,4,5,4,5,4,4,5,4,4,3,4,5
